College,Branch,Category,Closing_Rank
COEP Pune,Computer Engineering,OPEN,800
COEP Pune,Computer Engineering,OBC,1500
COEP Pune,Computer Engineering,SC,4000
COEP Pune,Computer Engineering,ST,6000
COEP Pune,Computer Engineering,EWS,1800
COEP Pune,Information Technology,OPEN,1200
COEP Pune,Information Technology,OBC,2000
COEP Pune,Information Technology,SC,5000
COEP Pune,Information Technology,ST,7000
COEP Pune,Information Technology,EWS,2200
COEP Pune,Mechanical Engineering,OPEN,3000
COEP Pune,Mechanical Engineering,OBC,4500
COEP Pune,Mechanical Engineering,SC,9000
COEP Pune,Mechanical Engineering,ST,12000
COEP Pune,Mechanical Engineering,EWS,5000
VJTI Mumbai,Computer Engineering,OPEN,600
VJTI Mumbai,Computer Engineering,OBC,1200
VJTI Mumbai,Computer Engineering,SC,3000
VJTI Mumbai,Computer Engineering,ST,5000
VJTI Mumbai,Computer Engineering,EWS,1400
VJTI Mumbai,Information Technology,OPEN,1000
VJTI Mumbai,Information Technology,OBC,1800
VJTI Mumbai,Information Technology,SC,4000
VJTI Mumbai,Information Technology,ST,6000
VJTI Mumbai,Information Technology,EWS,2000
VJTI Mumbai,Mechanical Engineering,OPEN,2500
VJTI Mumbai,Mechanical Engineering,OBC,4000
VJTI Mumbai,Mechanical Engineering,SC,8000
VJTI Mumbai,Mechanical Engineering,ST,11000
VJTI Mumbai,Mechanical Engineering,EWS,4500
PICT Pune,Computer Engineering,OPEN,2000
PICT Pune,Computer Engineering,OBC,3500
PICT Pune,Computer Engineering,SC,8000
PICT Pune,Computer Engineering,ST,11000
PICT Pune,Computer Engineering,EWS,4000
PICT Pune,Information Technology,OPEN,2500
PICT Pune,Information Technology,OBC,4000
PICT Pune,Information Technology,SC,9000
PICT Pune,Information Technology,ST,12000
PICT Pune,Information Technology,EWS,4500
PICT Pune,Mechanical Engineering,OPEN,6000
PICT Pune,Mechanical Engineering,OBC,9000
PICT Pune,Mechanical Engineering,SC,15000
PICT Pune,Mechanical Engineering,ST,18000
PICT Pune,Mechanical Engineering,EWS,10000
